accession	entry	species	gene
A0AV96	RBM47_HUMAN	Homo sapiens	RBM47
O14979	HNRDL_HUMAN	Homo sapiens	HNRNPDL
O57526	IF23B_XENLA	Xenopus laevis	igf2bp3-b
O60306	AQR_HUMAN	Homo sapiens	AQR
O60506	HNRPQ_HUMAN	Homo sapiens	SYNCRIP
O73932	IF23A_XENLA	Xenopus laevis	igf2bp3-a
O75525	KHDR3_HUMAN	Homo sapiens	KHDRBS3
O75821	EIF3G_HUMAN	Homo sapiens	EIF3G
O89086	RBM3_MOUSE	Mus musculus	Rbm3
O93235	CIRBA_XENLA	Xenopus laevis	cirbp-a
O95319	CELF2_HUMAN	Homo sapiens	CELF2
P03332	GAG_MLVMS	Moloney murine leukemia virus (isolate Shinnick)	gag
P09339	ACNA_BACSU	Bacillus subtilis (strain 168)	citB
P0A6X3	HFQ_ECOLI	Escherichia coli (strain K12)	hfq
P0DJD3	RBY1A_HUMAN	Homo sapiens	RBMY1A1
P18615	NELFE_HUMAN	Homo sapiens	NELFE
P21605	PG065_VACCW	Vaccinia virus (strain Western Reserve)	OPG065
P25516	ACNA_ECOLI	Escherichia coli (strain K12)	acnA
P26599	PTBP1_HUMAN	Homo sapiens	PTBP1
P32505	NAB2_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	NAB2
P32588	PUB1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	PUB1
P35637	FUS_HUMAN	Homo sapiens	FUS
P36683	ACNB_ECOLI	Escherichia coli (strain K12)	acnB
P38159	RBMX_HUMAN	Homo sapiens	RBMX
P49756	RBM25_HUMAN	Homo sapiens	RBM25
P51114	FXR1_HUMAN	Homo sapiens	FXR1
P51116	FXR2_HUMAN	Homo sapiens	FXR2
P52756	RBM5_HUMAN	Homo sapiens	RBM5
P53725	MPP6_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	MPP6
P56959	FUS_MOUSE	Mus musculus	Fus
P57052	RBM11_HUMAN	Homo sapiens	RBM11
P60825	CIRBP_RAT	Rattus norvegicus	Cirbp
P70501	RBM10_RAT	Rattus norvegicus	Rbm10
P86049	RBM46_MOUSE	Mus musculus	Rbm46
P97440	SLBP_MOUSE	Mus musculus	Slbp
P98179	RBM3_HUMAN	Homo sapiens	RBM3
Q00839	HNRPU_HUMAN	Homo sapiens	HNRNPU
Q01844	EWS_HUMAN	Homo sapiens	EWSR1
Q06106	MRD1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	MRD1
Q07666	KHDR1_HUMAN	Homo sapiens	KHDRBS1
Q08211	DHX9_HUMAN	Homo sapiens	DHX9
Q08831	VTS1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	VTS1
Q08925	MRN1_YEAST	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	MRN1
Q13395	TARB1_HUMAN	Homo sapiens	TARBP1
Q13825	AUHM_HUMAN	Homo sapiens	AUH
Q14011	CIRBP_HUMAN	Homo sapiens	CIRBP
Q14103	HNRPD_HUMAN	Homo sapiens	HNRNPD
Q14493	SLBP_HUMAN	Homo sapiens	SLBP
Q14498	RBM39_HUMAN	Homo sapiens	RBM39
Q15287	RNPS1_HUMAN	Homo sapiens	RNPS1
Q15633	TRBP2_HUMAN	Homo sapiens	TARBP2
Q3UQS8	RBM20_MOUSE	Mus musculus	Rbm20
Q3V089	RBM44_MOUSE	Mus musculus	Rbm44
Q4V898	RBMX_RAT	Rattus norvegicus	Rbmx
Q5T481	RBM20_HUMAN	Homo sapiens	RBM20
Q60749	KHDR1_MOUSE	Mus musculus	Khdrbs1
Q61474	MSI1H_MOUSE	Mus musculus	Msi1
